Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
550       1.6695              4.5815              15.2565             21.5777             
551       2.1739              4.2792              17.9046             24.4450             
552       0.7858              5.0235              16.8428             22.7463             
553       1.1185              4.6297              14.7475             20.5718             
554       3.0474              7.1806              21.2370             32.1034             
565       2.4205              13.4787             29.5006             61.5851             
566       2.9871              9.0322              11.7803             73.3029             
567       3.3095              10.5504             12.7960             86.0566             
568       2.9229              4.4859              19.9154             27.4012             
569       1.9020              4.2921              18.7029             24.9644             
570       2.4775              4.6111              18.9594             26.1268             
571       2.3808              7.6182              25.6979             35.7935             
573       1.5403              17.1752             17.5076             50.0978             
574       1.0226              5.3364              16.0564             22.4846             
576       2.9468              8.1002              12.4752             34.9391             
577       0.7746              4.3218              18.1799             23.3423             
578       2.7781              4.2868              16.5553             23.7035             
580       2.1547              4.4267              14.6672             21.3202             
581       2.1555              7.2897              26.3475             35.8618             
593       2.5851              12.7143             28.5339             64.3611             
594       2.2522              14.0910             17.4064             81.7690             
595       2.8271              6.1596              24.5863             106.3537            
596       5.1126              15.7405             17.2461             123.5869            
597       11.7297             7.5598              13.8226             119.7881            
598       5.5765              14.2815             10.4463             93.9372             
599       10.3724             10.0090             14.3761             70.1302             
600       2.4126              5.0757              14.0820             21.6626             
601       1.1534              4.6941              10.1874             16.1108             
602       2.2409              4.4762              12.4249             19.2141             
603       1.5831              4.5262              11.2071             17.3928             
604       1.7096              4.7229              12.2778             18.7765             
605       1.6970              4.9795              10.8446             17.5849             
606       1.8413              4.3783              12.2419             18.5297             
607       1.8680              4.5085              13.8643             20.3091             
608       1.8686              4.4433              11.5722             17.9497             
609       1.7613              4.5316              13.3843             19.7456             
610       1.9181              4.6431              12.8550             19.4836             
611       1.7657              4.5755              12.5375             18.9459             
612       2.4082              4.6941              15.1080             24.4197             
613       1.8190              4.6019              16.2652             22.7567             
614       1.6473              4.6917              13.5945             19.9928             
615       2.1626              4.6644              19.8774             26.7706             
616       2.1808              4.5661              17.7026             24.5205             
617       1.7323              5.1700              18.5801             25.5548             
618       4.5807              8.3976              19.5339             35.0239             
619       7.3195              7.5987              11.6644             46.6064             
620       1.7929              7.9903              13.7572             23.6082             
621       2.1327              8.0667              16.9058             27.1791             
622       1.5068              9.7138              21.1467             32.4512             
624       4.0572              7.6156              22.6800             55.0005             
625       2.3797              12.4083             11.3179             66.2516             
626       0.9892              4.3784              19.1181             24.5588             
627       2.1626              5.4951              16.2718             23.9990             
629       2.2701              10.9017             15.4764             39.4680             
630       1.1790              7.8819              21.1251             30.2557             
631       2.8803              7.8541              13.2848             29.4797             
632       1.9063              5.0715              18.4703             27.6667             
634       1.7652              6.6965              29.9810             38.5227             
636       3.4272              9.6337              17.4653             55.9224             
637       2.4418              7.8877              12.4494             68.3880             
638       1.2036              4.3515              21.1374             26.7695             
639       2.1634              5.1863              22.0306             29.4543             
640       1.3019              7.0662              21.9661             51.3944             
643       2.2530              8.8680              16.1236             43.0117             
645       7.5821              7.5118              14.2644             57.2411             
646       1.6665              4.6540              17.4277             23.8335             
648       1.9114              6.7667              24.9643             34.5923             
649       2.7837              22.5059             25.4836             60.0239             
651       3.4819              8.5031              16.1832             76.1214             
652       2.9374              11.5738             11.7753             87.8700             
653       1.5292              5.5844              21.6047             31.2116             
655       2.5245              8.2472              16.8253             47.9550             
656       0.7103              5.1305              20.9554             26.8745             
657       3.8353              5.5772              16.4749             28.0589             
658       1.9330              4.4368              11.2258             17.6663             
660       1.1789              5.4919              24.0370             30.7755             
661       2.9108              9.3402              16.3313             47.0723             
662       0.3796              7.6160              20.5906             29.1608             
663       4.1704              7.5938              22.4280             34.3400             
665       3.5240              10.5535             18.4841             52.8264             
666       2.6644              10.4843             11.2889             64.0786             
667       1.3378              7.9158              20.3070             29.6367             
669       2.3420              7.9728              14.6212             25.0116             
670       4.3630              10.5621             16.9559             33.7728             
672       1.8650              4.6290              13.7612             20.3507             
673       7.3110              7.8101              22.9933             40.4122             
675       7.2616              8.8571              16.4590             44.4133             
677       1.6551              4.3040              21.3132             27.3489             
679       1.7669              8.0204              22.6250             32.5965             
681       1.9256              7.9905              21.2397             31.5086             
682       2.2048              5.8450              22.6825             46.5212             
684       2.2477              7.9588              15.6714             37.0960             
686       2.3756              4.4365              20.0579             26.9383             
687       1.0619              6.5717              15.3186             23.0179             
703       1.7775              4.2374              18.7173             24.8153             
704       1.9513              4.2346              21.2689             27.5386             
705       2.1821              4.2516              15.3157             21.8286             
706       3.8466              7.2812              15.8021             27.0085             
707       2.7822              6.8979              21.2863             31.0668             
708       2.1298              6.7323              16.7005             25.6368             
709       2.3513              6.7034              19.8120             28.9375             
710       2.6877              6.8853              18.8891             28.5370             
711       2.0391              7.3119              18.0826             27.5040             
712       1.9455              9.7945              32.8731             44.6930             
713       2.6585              8.2496              34.1261             78.7961             
714       3.5422              9.0163              20.1154             98.8599             
715       4.0130              7.7122              12.1209             110.9367            
716       15.2305             7.0718              15.6925             119.3964            
717       4.8853              7.7463              9.9064              73.8972             
718       1.5310              4.2941              29.5092             35.4080             
719       15.0519             7.0081              22.9004             48.6819             
720       5.2302              5.8208              27.2436             39.0096             
722       4.9259              11.3051             19.7986             58.6409             
723       2.1344              8.4234              27.1092             38.7707             
726       3.8580              7.5946              24.8677             63.5753             
727       1.2478              7.8200              15.4407             53.1539             
728       6.8691              7.5899              12.8329             65.9233             
729       3.8681              7.9024              24.7850             39.6798             
731       3.5365              8.1760              18.5952             58.2286             
732       2.2259              4.3048              21.9300             28.5399             
734       1.9553              5.0533              23.0168             30.0944             
737       1.9772              4.6911              22.3925             30.9157             
738       2.3074              7.0891              28.8413             41.5153             
740       4.8403              7.4826              22.0364             63.4629             
741       1.2473              4.4809              24.2602             30.0550             
742       1.9081              4.5452              25.0754             34.9647             
743       5.7558              7.8775              24.4293             39.5460             
745       6.0605              6.4395              20.2151             59.6704             
746       2.1268              4.9496              36.2839             43.4425             
747       5.3630              7.8368              24.2420             52.4010             
749       8.4935              16.0476             23.1778             75.5381             
750       9.4644              11.0961             14.7268             90.2022             
751       1.7409              8.3732              20.5666             30.7561             
752       2.6308              6.8149              20.6460             51.2851             
753       1.6461              7.6324              28.3997             37.7502             
754       3.7882              7.0475              19.4382             57.1224             
755       1.1986              7.6911              31.4060             41.6298             
757       2.6407              12.5767             26.4263             68.0442             
758       2.5107              11.3986             8.5405              76.5436             
759       4.6342              7.6239              20.9772             97.4659             
760       1.7288              7.1740              32.5094             47.5644             
761       1.6266              7.4126              25.8813             63.7364             
762       3.9665              6.7523              11.9588             75.5509             
763       4.2127              6.7796              24.5836             38.1567             
764       1.3610              4.3430              15.8358             21.6090             
765       2.2995              5.7111              24.3629             32.4695             
767       3.0466              7.0479              25.9826             58.3481             
768       1.3769              7.3501              39.8300             48.7872             
769       3.7202              9.5943              28.1435             76.8630             
770       3.5771              7.4585              11.9040             88.7289             
771       8.4388              12.5839             11.1500             99.8554             
772       0.7157              7.3105              32.5885             40.7037             
773       4.0743              6.5876              32.0106             72.6438             
774       4.6046              11.1619             7.5930              80.1160             
775       0.2653              4.6959              33.9566             39.0035             
776       1.9479              4.5268              18.1846             24.7284             
777       2.6820              4.2773              27.5659             34.5981             
778       5.2939              10.2432             16.1510             36.2273             
779       7.8330              8.7130              13.0831             49.2827             
780       1.7851              4.2450              24.8327             30.9391             
781       1.9312              8.0816              15.3800             25.8670             
782       1.8250              8.0187              58.1902             68.0984             
783       1.6097              10.5892             17.0188             73.3847             
785       2.9214              8.9449              9.3729              82.6436             
786       8.2174              9.5936              8.7373              91.3383             
787       4.0767              7.7056              10.5197             101.7922            
788       5.2012              8.9482              12.4296             71.0410             
789       5.5416              7.4986              11.9395             30.9254             
790       2.2549              4.3238              16.0443             22.6941             
791       2.1373              4.4655              18.5442             25.2153             
792       1.4573              4.6490              22.4067             28.6050             
793       2.0118              6.1106              23.8020             32.0105             
794       3.6999              9.6019              16.3405             48.2762             
795       1.8459              4.3280              15.6709             21.9146             
797       2.1099              5.3453              22.5454             30.0674             
798       2.9566              6.6164              15.2313             45.2188             
