index   ul_delay_ms   duration_ms   packet_size  sync_rtt_ms
333     19.34         71.73         100000      6.36      
334     18.53         53.38         100000      6.36      
335     20.28         34.44         100000      6.61      
336     19.82         26.78         100000      6.61      
337     16.24         31.30         100000      6.38      
338     20.55         33.22         100000      6.38      
339     18.19         29.42         100000      6.86      
340     31.08         25.80         100000      6.86      
341     21.37         31.24         100000      6.44      
342     18.58         45.95         100000      6.44      
343     21.21         37.43         100000      6.69      
344     17.45         48.39         100000      6.69      
345     20.50         28.42         100000      6.38      
346     20.91         26.35         100000      6.38      
347     16.81         30.59         100000      6.35      
348     16.35         37.58         100000      6.35      
349     18.66         29.35         100000      6.33      
350     36.23         26.14         100000      6.33      
351     17.42         30.70         100000      6.29      
352     20.11         27.78         100000      6.29      
353     17.65         51.27         100000      6.49      
354     25.09         35.53         100000      6.49      
355     17.17         37.87         100000      6.22      
356     21.86         27.43         100000      6.22      
357     23.16         38.21         100000      6.32      
358     18.30         38.56         100000      6.32      
359     21.70         43.01         100000      6.46      
360     19.40         54.88         100000      6.46      
361     18.93         24.33         100000      6.55      
362     15.52         30.58         100000      6.55      
363     17.73         45.32         100000      6.53      
364     24.77         33.39         100000      6.53      
365     17.81         43.34         100000      6.31      
366     18.36         41.91         100000      6.31      
367     17.68         39.62         100000      6.22      
368     18.56         40.35         100000      6.22      
369     19.07         27.83         100000      6.67      
370     20.74         38.59         100000      6.67      
371     18.19         45.76         100000      6.42      
372     19.86         34.59         100000      6.42      
373     17.42         56.74         100000      6.43      
386     16.71         29.39         100000      6.89      
387     17.85         49.22         100000      6.59      
388     19.38         27.65         100000      6.59      
389     20.62         32.99         100000      6.66      
390     23.45         48.44         100000      6.66      
391     22.19         31.47         100000      6.38      
392     21.26         24.22         100000      6.38      
393     18.24         34.11         100000      6.36      
394     20.26         34.36         100000      6.36      
