Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
1959      5.8694              5.1145              8.9364              20.0140             
1961      2.4684              9.1763              21.8860             42.0709             
1962      13.7762             7.9348              6.0371              32.5830             
1963      2.9001              4.3393              6.2226              13.5549             
1964      2.5910              4.2851              4.1096              11.0565             
1966      6.4432              7.9246              5.6942              21.9936             
1967      2.6221              7.6355              11.5675             21.9172             
1984      2.4367              7.6161              11.7715             21.8970             
1985      2.6067              7.6360              9.6150              19.9369             
1986      3.0299              7.5745              13.0302             32.9788             
1988      2.6915              7.6013              11.8399             22.2113             
1989      2.8597              6.1666              10.4480             19.5602             
1990      4.6328              5.8878              8.6101              28.1934             
1992      3.1010              5.5399              8.9341              17.6607             
1993      3.7062              6.0858              10.1359             27.7935             
1997      4.5212              7.1817              10.7303             22.5191             
2000      7.9127              5.6454              10.7413             33.2337             
2001      2.8444              5.7291              10.7091             19.3672             
2003      4.7149              5.4921              15.6134             34.9681             
2052      4.7758              4.2126              6.2890              22.2876             
2053      3.3006              6.4919              20.5216             33.0028             
2055      4.9106              11.8461             18.3281             51.3575             
2058      8.6030              17.3195             11.9215             63.2565             
2059      16.7161             10.5486             3.1523              66.3508             
2061      2.7431              7.7130              7.9693              18.5275             
2064      5.0441              7.6339              7.7944              20.5515             
2067      6.5051              7.3409              13.7337             34.2633             
2083      4.6912              7.6046              7.1136              19.4982             
2131      1.4590              4.2896              5.9793              11.8058             
2164      2.6456              4.2578              5.3160              16.1973             
2167      5.4517              7.8035              4.7576              18.1142             
2170      5.5849              6.5168              5.9623              25.7279             
2173      5.5235              7.7294              10.9439             24.3032             
2176      2.9713              7.6989              6.5194              17.2652             
2179      5.2209              7.7405              10.9621             24.0026             
2210      2.2975              7.7276              7.9395              24.1158             
2213      5.4187              7.7578              5.6846              18.9371             
2216      3.6707              7.7035              6.0114              17.4637             
2221      5.5255              7.6981              5.5366              18.9138             
2224      2.6996              7.7045              6.4234              16.9106             
2240      5.0202              7.7043              8.8150              24.4266             
2258      2.1444              9.3449              9.9603              24.4550             
2261      2.6528              9.1183              20.6918             45.1783             
2264      6.4785              7.1521              10.7375             55.8548             
2270      10.0883             6.9967              13.1844             52.6979             
2273      3.3571              6.0941              8.5361              18.0680             
2337      2.5330              8.3365              6.5694              22.1096             
2353      2.7140              6.4425              6.5712              18.7632             
2369      2.9073              6.5094              3.7009              23.4954             
2401      5.8967              6.3891              6.7183              22.4410             
2434      2.4945              4.2357              5.7096              12.5142             
2441      8.0487              4.2766              3.6210              16.0371             
2444      5.3765              5.4025              7.4128              21.1130             
2448      5.0541              6.7120              16.4175             37.8981             
2476      2.3808              8.7344              11.5520             27.6750             
2483      8.1869              7.1649              11.8068             39.4598             
2484      2.8121              4.2686              4.8289              11.9919             
2486      10.6603             6.6380              4.3546              25.2040             
2489      2.9933              11.0723             6.7070              20.8550             
2507      2.5635              7.7500              4.7752              15.1646             
2555      2.2143              4.2280              7.2824              13.8095             
2571      5.5384              4.2308              7.0381              26.4583             
2572      1.6258              6.1422              14.1949             25.6637             
2573      4.9342              9.0848              9.7076              35.3689             
2577      8.4938              13.3727             8.9324              44.2812             
2578      3.9954              4.2809              5.8841              14.2386             
2580      3.8991              8.3800              16.0000             28.3622             
2586      9.0946              6.4336              17.0904             45.3816             
2587      2.8661              10.7918             4.7922              50.1607             
2604      2.4893              6.6979              7.8153              20.0249             
2609      8.0609              6.3527              8.8486              28.8351             
2610      1.7072              7.3584              9.6446              18.7921             
2611      7.4708              5.2680              6.9601              25.7199             
2612      2.7110              7.2656              7.2895              17.3463             
2620      7.7298              5.5284              11.4514             28.7655             
2621      5.2235              4.3540              4.8209              14.4884             
2623      4.9578              4.2695              3.8846              13.1823             
2626      8.7504              12.3914             9.9237              34.0588             
2632      13.0854             7.1290              14.0360             48.0471             
2633      2.8312              4.2672              5.7618              12.9499             
2635      5.3348              4.3357              3.9495              13.6997             
2652      4.7204              4.2693              5.4543              14.5132             
2656      5.2289              7.9881              9.3054              23.9045             
2658      4.1866              7.4983              15.8430             39.7638             
2675      2.3821              7.1452              21.8615             45.6603             
2679      7.3175              13.2034             11.8400             57.4968             
2680      9.1995              7.6345              6.3669              63.8864             
2681      4.0851              13.0829             14.0069             32.5827             
2682      5.7671              10.2522             6.9478              36.8978             
2683      2.7948              8.5070              11.3176             23.2289             
2700      5.2843              6.6017              20.4385             37.1977             
2701      1.9983              8.7381              20.3237             59.0501             
2702      4.5564              9.3468              9.8981              68.9445             
2705      7.4129              5.6594              7.5055              76.4088             
2709      9.4593              13.1371             3.9281              80.2910             
2710      2.4788              8.6776              15.8548             27.0990             
2717      8.3288              7.8288              12.9957             40.0461             
2718      7.6363              6.4559              5.3469              20.8641             
2720      5.2436              4.2703              4.1597              13.8179             
2723      10.5914             15.3329             6.6732              34.1019             
2756      3.0801              4.2140              5.3006              17.1879             
2772      5.3633              8.2800              7.3089              21.0415             
2790      6.5992              4.2486              11.7411             26.8281             
2791      2.8778              8.5313              6.2035              17.6890             
2793      8.6530              7.5919              7.5096              26.6057             
2794      2.7141              8.2647              6.9919              18.0485             
2796      2.7388              8.5874              9.1521              20.5714             
2801      7.5236              7.9637              18.6783             39.1775             
2802      4.6444              7.7315              15.7839             28.2440             
0         2.9597              13.3969             15.4495             43.6777             
2805      4.5555              6.7196              7.0489              19.0124             
2837      4.2360              4.2707              5.8912              14.4795             
2853      1.5548              4.2710              6.0964              12.0198             
2925      5.3718              4.2242              5.8276              30.1212             
2926      2.8738              4.2872              6.2439              13.4927             
2928      4.2485              5.2243              10.1370             19.6980             
2932      4.0301              8.4434              12.3053             32.0195             
2940      5.3368              5.3857              11.5039             22.3151             
2956      5.5596              4.2752              5.0794              15.0220             
2989      4.3830              4.2421              4.6788              27.7488             
2990      5.2630              4.2679              5.5733              15.1944             
2992      2.9461              4.5270              3.3529              15.1368             
2995      5.2273              7.4778              4.8623              17.6779             
3011      2.7994              9.1283              5.3330              17.3301             
3029      2.6593              9.4959              6.3068              18.5277             
3036      11.0376             7.5654              8.6739              29.9132             
3037      2.0303              4.2591              5.0525              11.4233             
3039      5.6214              4.2843              3.6485              13.6339             
3040      1.2399              7.9692              17.7323             28.2638             
3042      6.9718              8.5793              13.8946             42.1453             
3045      4.3592              14.5787             4.6234              46.7521             
3084      5.4917              4.2773              6.8016              22.4397             
3085      3.5563              4.2920              6.0879              14.0200             
3087      4.7659              4.9067              14.9904             24.7428             
3090      3.2143              6.7789              8.8360              33.5464             
3100      5.3108              6.7428              20.6900             32.8364             
3101      1.5411              7.0488              14.9922             47.8299             
3104      6.0217              16.3881             23.0119             70.8101             
3106      3.5648              7.7653              8.5841              79.3879             
3115      10.9136             9.8738              9.4091              88.7466             
3116      5.7816              9.1928              8.5168              68.6938             
3118      26.0025             6.3887              4.4174              73.0382             
3119      1.9338              4.2902              14.3435             20.6662             
3121      3.2619              4.2984              7.5673              15.2017             
3140      2.5397              4.2990              5.7999              12.7135             
3173      4.4975              7.0833              11.1227             22.7774             
3185      7.8826              5.3723              8.3585              31.1522             
3186      3.1477              4.2571              7.5507              15.0360             
3188      3.4777              4.2618              7.7871              15.6033             
3220      4.5192              4.2834              5.9032              14.7806             
3236      2.4035              6.8925              6.3018              15.6794             
3252      6.2604              7.6777              6.4966              20.5104             
3285      4.9908              7.7539              7.1193              19.9358             
3297      2.5185              8.2434              4.7096              15.5530             
3300      7.4384              8.0762              9.5448              28.4142             
3301      2.4387              4.2457              6.7672              13.5415             
3303      2.5719              9.2871              8.2931              20.2283             
3311      7.7112              9.3638              14.3036             35.5277             
3312      4.4288              4.2708              4.3287              13.1259             
0         2.8232              7.1185              16.3416             26.4100             
3330      5.4786              4.3087              7.0185              16.8886             
3331      5.6102              4.2709              4.5353              14.5148             
3332      5.5698              4.2612              4.2623              14.1761             
3333      5.5538              4.2835              4.7063              14.6260             
3334      5.4974              4.2720              4.8215              14.6838             
3335      5.9867              4.2790              5.6324              15.9966             
3336      5.4798              4.2729              4.8590              14.7000             
3337      4.6133              4.1968              21.1875             30.4651             
3338      1.1734              5.9984              6.3641              33.9537             
3357      2.9803              4.2765              6.6407              13.9890             
0         1.6473              4.2242              3.6200              9.6700              
0         2.9716              4.2469              4.7399              12.0846             
3406      4.5428              4.2792              7.4465              16.3555             
3438      5.2940              4.2729              6.6360              16.2791             
3486      2.5004              4.2854              7.9276              14.7898             
3550      2.5328              4.3054              9.1040              16.0155             
3624      4.2760              4.3003              5.3347              14.0005             
3656      3.3834              4.2557              5.5652              13.2937             
3657      4.1664              4.2720              5.8427              14.3755             
3660      3.3333              4.2667              6.3367              14.0317             
3661      2.6426              4.3109              5.5486              12.5762             
3685      6.7124              4.2861              6.2772              17.4038             
3688      4.8668              4.2849              5.6093              14.8411             
3737      5.0152              4.2587              6.0314              15.3888             
3740      2.6664              4.2751              7.0293              14.0541             
