Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
1955      10.1066             5.0042              15.3628             31.4147             
1957      2.2394              4.3984              20.4932             27.2072             
1959      5.8694              4.4753              19.4565             29.8866             
1961      2.4684              6.9889              17.9276             47.7963             
1962      13.7762             11.6346             17.7489             50.0072             
1963      2.9001              4.4785              16.5808             24.0368             
1964      2.5910              4.3955              17.4831             24.5360             
1966      6.4432              9.5228              14.6547             30.7449             
1967      2.6221              4.5416              15.9378             23.1748             
1984      2.4367              4.4534              17.1717             24.1307             
1985      2.6067              5.7355              17.8283             26.2403             
1986      3.0299              5.8117              17.4439             43.6850             
1988      2.6915              4.4917              14.0425             21.3063             
1989      2.8597              8.0426              16.9123             27.8890             
1990      4.6328              8.4240              15.0371             42.9392             
1992      3.1010              5.6225              25.3578             34.1621             
1993      3.7062              8.3524              14.1402             48.2815             
1997      4.5212              7.5964              18.4541             30.6524             
2000      7.9127              7.2202              14.9743             45.5848             
2001      2.8444              5.4201              21.8280             30.1678             
2003      4.7149              9.1320              16.2325             46.3801             
2052      4.7758              4.4062              15.6996             31.8925             
2053      3.3006              7.3421              28.1881             40.4058             
2055      4.9106              12.6366             25.2826             65.7060             
2058      8.6030              8.8396              12.5783             78.2667             
2059      16.7161             11.8925             9.2704              87.4511             
2061      2.7431              8.4095              19.9445             31.2020             
2064      5.0441              7.5371              22.3815             35.0454             
2067      6.5051              8.4690              9.4591              44.4575             
2083      4.6912              7.7375              23.6872             36.1960             
2131      1.4590              8.4964              11.6874             21.7184             
2164      2.6456              8.4619              12.6863             27.7650             
2167      5.4517              10.5481             15.4643             32.8823             
2170      5.5849              8.4073              10.0939             42.9265             
2173      5.5235              8.4093              14.1966             28.2170             
2176      2.9713              8.3942              19.9032             31.3403             
2179      5.2209              8.3852              17.5673             31.2476             
2210      2.2975              8.4057              22.5154             39.3748             
2213      5.4187              8.4341              22.5682             36.4968             
2216      3.6707              8.3702              22.5766             34.6916             
2221      5.5255              8.3743              11.9116             25.9682             
2224      2.6996              8.3767              18.3113             29.4705             
2240      5.0202              8.4026              19.7958             36.0961             
2258      2.1444              9.3397              18.9957             33.4781             
2261      2.6528              10.6913             20.6296             54.1301             
2264      6.4785              14.5585             19.4260             73.4994             
2270      10.0883             7.8202              8.0541              65.2081             
2273      3.3571              6.7644              20.6344             30.8371             
2337      2.5330              7.7313              14.5422             29.4744             
2353      2.7140              6.3016              13.8795             25.9262             
2369      2.9073              7.1620              8.3759              28.8130             
2401      5.8967              5.6914              10.7681             26.1327             
2434      2.4945              4.3828              16.4034             23.3586             
2441      8.0487              4.6358              8.4712              21.2297             
2444      5.3765              7.4557              14.9476             33.1094             
2448      5.0541              13.8196             9.4462              42.5495             
2476      2.3808              8.0360              19.3690             34.7870             
2483      8.1869              12.3634             10.5551             45.3922             
2484      2.8121              4.3965              21.1784             28.4743             
2486      10.6603             8.4718              14.7407             33.9571             
2489      2.9933              8.1210              11.1382             22.3364             
2507      2.5635              7.2229              13.9504             23.8076             
2555      2.2143              4.4251              15.2800             21.9909             
2571      5.5384              4.7368              19.3979             39.3066             
2572      1.6258              7.5953              22.9881             34.2213             
2573      4.9342              11.7781             17.8979             52.1130             
2577      8.4938              9.1363              11.0168             63.1049             
2578      3.9954              4.4092              20.5267             29.0050             
2580      3.8991              8.4220              25.5981             37.9985             
2586      9.0946              7.1152              17.2836             55.2111             
2587      2.8661              16.5024             8.8209              64.0002             
2604      2.4893              7.9558              23.5624             37.0180             
