index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
236     21.76         -40.89          5.19          26.95         100000      11.60     
237     10.80         -50.73          6.74          17.53         100000      9.38      
238     12.16         -49.37          3.78          15.94         100000      9.38      
239     15.82         -45.70          9.94          25.76         100000      9.38      
240     20.62         -41.08          7.90          28.53         100000      10.09     
241     12.81         -48.90          4.88          17.69         100000      10.09     
242     10.68         -51.03          11.45         22.12         100000      10.09     
243     15.05         -46.76          2.82          17.87         100000      12.95     
244     11.59         -50.23          4.82          16.41         100000      12.95     
245     19.48         -42.92          7.17          26.65         100000      11.82     
246     12.27         -50.13          4.89          17.16         100000      11.82     
247     10.92         -51.48          12.55         23.47         100000      11.82     
248     12.96         -48.58          10.54         23.50         100000      9.52      
249     19.67         -41.88          5.52          25.19         100000      9.52      
250     10.76         -50.78          5.73          16.49         100000      9.52      
251     20.62         -40.68          6.08          26.71         100000      10.02     
252     10.29         -51.01          5.72          16.01         100000      10.02     
253     20.14         -41.16          4.84          24.98         100000      10.02     
254     19.27         -41.86          4.59          23.86         100000      10.22     
255     10.81         -50.33          6.30          17.11         100000      10.22     
256     15.85         -45.29          12.16         28.01         100000      10.22     
257     12.03         -48.97          4.61          16.64         100000      10.82     
258     12.14         -48.86          40.34         52.48         100000      10.82     
259     10.45         -50.55          8.47          18.92         100000      10.82     
260     11.81         -50.18          8.51          20.33         100000      11.75     
261     11.12         -50.87          8.08          19.20         100000      11.75     
262     12.24         -49.75          7.59          19.83         100000      11.75     
263     15.07         -44.84          9.76          24.83         100000      14.49     
264     18.73         -41.18          6.16          24.88         100000      14.49     
265     18.27         -41.63          9.76          28.04         100000      14.49     
266     10.15         -51.08          10.50         20.65         100000      11.43     
267     11.27         -49.96          9.69          20.97         100000      11.43     
268     11.49         -49.74          15.81         27.30         100000      11.43     
269     11.27         -50.15          8.29          19.56         100000      9.94      
270     10.92         -50.51          17.91         28.83         100000      9.94      
271     14.25         -47.17          3.69          17.94         100000      9.94      
272     13.46         -49.99          5.50          18.95         100000      13.38     
273     13.57         -49.88          8.85          22.42         100000      13.38     
274     23.00         -40.44          5.84          28.84         100000      13.38     
275     11.68         -50.06          5.72          17.40         100000      9.72      
276     20.18         -41.57          8.34          28.52         100000      9.72      
277     11.42         -50.33          8.53          19.95         100000      9.72      
278     11.52         -50.96          7.34          18.86         100000      11.60     
279     12.86         -49.62          8.85          21.71         100000      11.60     
280     11.83         -50.65          7.10          18.92         100000      11.60     
281     16.29         -48.87          5.77          22.06         100000      16.59     
282     22.56         -42.60          7.13          29.68         100000      16.59     
283     14.60         -50.55          7.29          21.90         100000      16.59     
284     16.05         -50.23          10.81         26.86         100000      18.88     
285     17.39         -48.89          14.21         31.60         100000      18.88     
286     15.29         -50.99          21.98         37.27         100000      18.88     
287     19.25         -44.34          14.52         33.77         100000      14.40     
288     13.75         -49.83          9.17          22.93         100000      14.40     
289     12.66         -48.80          8.23          20.89         100000      9.78      
290     10.92         -50.54          12.02         22.94         100000      9.78      
291     10.66         -50.81          8.05          18.71         100000      9.78      
292     13.23         -48.40          15.46         28.69         100000      10.55     
293     16.39         -45.24          14.98         31.37         100000      10.55     
294     11.71         -49.92          9.02          20.73         100000      10.55     
295     11.16         -50.59          9.26          20.42         100000      10.78     
296     10.84         -50.91          6.57          17.41         100000      10.78     
297     10.66         -51.09          7.23          17.88         100000      10.78     
298     15.11         -46.68          2.73          17.84         100000      10.56     
299     10.48         -51.31          6.08          16.56         100000      10.56     
300     13.60         -48.19          12.93         26.53         100000      10.56     
301     11.37         -50.17          8.10          19.48         100000      9.56      
302     10.98         -50.57          9.68          20.66         100000      9.56      
303     16.29         -45.25          4.36          20.65         100000      9.56      
304     12.56         -49.10          14.06         26.62         100000      10.20     
305     10.67         -50.99          7.28          17.95         100000      10.20     
306     11.21         -50.45          6.15          17.36         100000      10.20     
307     12.89         -48.86          14.08         26.97         100000      10.31     
308     11.70         -50.05          8.96          20.66         100000      10.31     
309     12.08         -49.67          6.42          18.50         100000      10.31     
310     10.02         -50.98          12.01         22.02         100000      13.94     
311     10.21         -50.79          7.96          18.17         100000      13.94     
312     15.59         -45.40          12.34         27.94         100000      13.94     
313     20.77         -40.92          7.37          28.14         100000      11.25     
314     11.33         -50.36          11.07         22.40         100000      11.25     
315     11.93         -49.76          5.49          17.42         100000      11.25     
316     12.67         -49.04          7.39          20.06         100000      9.96      
317     13.73         -47.98          8.41          22.13         100000      9.96      
318     21.26         -40.44          6.77          28.03         100000      9.96      
319     11.32         -50.35          7.34          18.66         100000      9.67      
320     12.56         -49.12          10.08         22.64         100000      9.67      
321     16.28         -45.39          11.29         27.58         100000      9.67      
322     9.33          -51.16          13.37         22.70         100000      12.81     
323     11.06         -49.43          17.40         28.46         100000      12.81     
324     9.44          -51.05          7.59          17.03         100000      12.81     
325     17.76         -44.06          1.05          18.82         100000      10.60     
326     19.93         -41.90          6.99          26.92         100000      10.60     
327     26.54         -35.28          1.45          27.99         100000      10.60     
328     11.55         -49.98          4.96          16.51         100000      10.41     
329     10.73         -50.80          15.55         26.28         100000      10.41     
330     10.41         -51.12          16.39         26.80         100000      10.41     
331     43.57         -18.80          10.31         53.88         100000      11.68     
332     21.28         -41.10          6.56          27.83         100000      11.68     
333     11.45         -50.92          7.51          18.96         100000      11.68     
334     11.43         -51.03          8.14          19.56         100000      11.71     
335     16.82         -45.64          11.73         28.56         100000      11.71     
336     11.29         -51.17          8.45          19.74         100000      11.71     
337     21.47         -41.82          5.68          27.14         100000      12.89     
338     16.94         -46.34          2.11          19.06         100000      12.89     
339     13.11         -50.17          17.87         30.99         100000      12.89     
340     19.40         -42.85          6.17          25.57         100000      12.69     
341     11.18         -51.07          11.55         22.72         100000      12.69     
342     11.56         -50.86          8.65          20.21         100000      11.68     
343     16.85         -45.58          8.36          25.21         100000      11.68     
344     11.89         -50.53          17.75         29.64         100000      11.68     
345     13.27         -48.48          4.97          18.24         100000      9.89      
346     13.04         -48.71          4.86          17.91         100000      9.89      
347     20.55         -41.20          7.84          28.39         100000      9.89      
348     14.26         -48.57          8.88          23.14         100000      12.93     
349     12.38         -50.46          10.29         22.66         100000      12.93     
350     11.72         -51.12          9.42          21.14         100000      12.93     
351     11.76         -50.08          10.72         22.48         100000      10.62     
352     16.82         -45.02          8.89          25.70         100000      10.62     
353     11.26         -50.58          6.23          17.49         100000      10.62     
354     10.84         -50.94          8.27          19.11         100000      9.97      
355     12.02         -49.76          6.15          18.17         100000      9.97      
356     11.24         -50.54          6.80          18.04         100000      9.97      
